State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:58, state_name:UTTARAKHAND, district_name:Rudraprayag",242285,114589,127696,170933,91803,79130,47679,23585,24094,386,217,169,113032,52339,60693,78950,34082,129253,83155,3200,2112,24565,240170,1486,171,38,9,4,44,363,19859,49182,418,3082,112705,4454,117159,30562,50288,44605,28916,21131,15096,440,191038,45428,236466,141848,54979,44986
"district_code:59, state_name:UTTARAKHAND, district_name:Tehri Garhwal",618931,297986,320945,407994,227406,180588,102130,50371,51759,875,459,416,280442,140821,139621,165912,114530,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,109,544,50929,117239,1366,7831,227059,27177,254236,72163,103462,95417,74008,58434,30704,2073,436261,133013,569274,368324,139371,109998
"district_code:60, state_name:UTTARAKHAND, district_name:Dehradun",1696694,892199,804495,1259506,702216,557290,228901,120430,108471,111663,58264,53399,582768,458834,123934,488161,94607,1113926,77176,38195,22992,444405,1424916,202057,13416,36454,11778,5117,217,2739,233705,310726,25862,71199,228245,269393,497638,142130,236027,240639,206730,187700,247622,26644,1287492,296538,1584030,968517,446046,276280
"district_code:61, state_name:UTTARAKHAND, district_name:Garhwal",687271,326829,360442,494889,262148,232741,122361,59842,62519,2215,1174,1041,274152,147373,126779,164439,109713,413119,150607,13715,5635,104195,660507,22931,2161,619,58,212,51,732,70551,143963,2633,12670,279682,36780,316462,91101,107794,111671,95590,74219,52076,5638,538089,123071,661160,380765,160183,145445
"district_code:62, state_name:UTTARAKHAND, district_name:Pithoragarh",483439,239306,244133,345550,189623,155927,120378,60111,60267,19535,9558,9977,216490,113539,102951,145481,71009,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,430,45365,95421,1344,7932,183687,26256,209943,63591,87585,90983,56591,42086,28375,2237,371448,88036,459484,273494,116749,92517
"district_code:63, state_name:UTTARAKHAND, district_name:Bageshwar",259898,124326,135572,179483,97546,81937,72061,35623,36438,1982,971,1011,123638,58708,64930,78085,45553,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,16,381,13352,47083,435,3595,96031,3880,99911,38113,47788,50340,31224,20785,10900,675,199825,49539,249364,147488,60569,51672
"district_code:64, state_name:UTTARAKHAND, district_name:Almora",622506,291081,331425,436497,231604,204893,150995,72695,78300,1281,633,648,298211,142460,155751,201078,97133,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,1115,40199,109876,1830,9858,260056,21082,281138,90864,120029,115810,76148,53026,37742,2263,495882,109556,605438,351595,141238,128994
"district_code:65, state_name:UTTARAKHAND, district_name:Champawat",259648,131125,128523,177726,102015,75711,47383,24188,23195,1339,777,562,99566,60427,39139,62698,36868,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,6,128,18785,37725,548,3159,85202,12839,98041,36127,48093,45766,23610,18360,15110,1317,188383,62429,250812,156916,60722,41913
"district_code:66, state_name:UTTARAKHAND, district_name:Nainital",954605,493666,460939,696500,385779,310721,191206,98824,92382,7495,3801,3694,376181,256935,119246,296424,79757,578424,137530,34742,9767,194142,809717,120742,5091,17419,570,356,181,529,99021,169001,7265,26270,193086,105577,298663,90915,155681,157875,115317,98851,89101,6200,713940,166573,880513,562548,243095,147053
"district_code:67, state_name:UTTARAKHAND, district_name:Udham Singh Nagar",1648902,858783,790119,1037839,598525,439314,238264,124385,113879,123037,61758,61279,591458,444578,146880,450762,140696,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,1949,116576,254802,7883,28053,269406,145253,414659,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1559017,1042614,392370,212223
"district_code:68, state_name:UTTARAKHAND, district_name:Hardwar",1890422,1005295,885127,1178354,691411,486943,411274,217981,193293,6323,3385,2938,578121,497810,80311,495152,82969,1312301,93660,103115,19955,361391,1214935,648119,4878,17364,709,2501,46,1870,125717,279012,11947,35023,301828,186183,488011,245515,336790,243719,165003,114114,134182,29377,1268700,580970,1849670,1207120,435385,246229
"district_code:69, state_name:HARYANA, district_name:Panchkula",561293,299679,261614,405318,229862,175456,101830,53868,47962,0,0,0,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,70895,93656,164551,45607,73584,60177,69163,48306,83256,8466,388559,119222,507781,309078,157076,93606
"district_code:70, state_name:HARYANA, district_name:Ambala",1128350,598703,529647,818025,461288,356737,296246,156874,139372,0,0,0,372139,320120,52019,319475,52664,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868,121622,199681,12899,32767,175365,139891,315256,89558,170110,161844,163544,97980,91472,18727,793235,222031,1015266,617859,308126,201685
"district_code:71, state_name:HARYANA, district_name:Yamunanagar",1214205,646718,567487,832457,474793,357664,306743,163200,143543,0,0,0,389233,342343,46890,339024,50209,824972,61516,73251,12287,242179,984929,138569,3646,84455,161,1555,126,764,109080,217503,8079,25129,214464,143259,357723,107222,194654,164652,159311,99170,82532,18666,826207,319428,1145635,694813,317708,201386
"district_code:72, state_name:HARYANA, district_name:Kurukshetra",964655,510976,453679,646893,370828,276065,215128,113311,101817,0,0,0,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,203553,88268,291821,94530,145392,118107,120790,81964,71007,10999,642789,266638,909427,552034,250830,160216
"district_code:73, state_name:HARYANA, district_name:Kaithal",1074304,571003,503301,646529,385782,260747,247513,131486,116027,0,0,0,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,231091,75696,306787,119345,158239,124682,117753,82297,51043,9111,662470,369869,1032339,630194,265813,176320
"district_code:74, state_name:HARYANA, district_name:Karnal",1505324,797712,707612,978013,564516,413497,339604,179681,159923,0,0,0,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,292682,135920,428602,155839,231354,188040,183590,124790,101387,19186,1004186,429220,1433406,884972,380409,234684
"district_code:75, state_name:HARYANA, district_name:Panipat",1205437,646857,558580,786599,464136,322463,206213,109695,96518,0,0,0,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,173502,153804,327306,118873,170565,143466,141473,91756,75774,10977,752884,296212,1049096,739075,298764,167244
"district_code:76, state_name:HARYANA, district_name:Sonipat",1450001,781299,668702,998316,589881,408435,269935,144516,125419,0,0,0,523179,391085,132094,396763,126416,926822,142344,101733,18184,260918,1390149,45100,1405,4484,336,6033,29,2465,126009,253054,9029,30697,283858,133576,417434,138489,200458,182396,224639,150760,101186,19261,1017189,344813,1362002,855201,360216,233318
"district_code:77, state_name:HARYANA, district_name:Jind",1334152,713006,621146,832758,502049,330709,282351,150940,131411,0,0,0,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,278335,89665,368000,136892,185626,151682,154773,107994,64599,14277,815843,419624,1235467,784085,335704,213478
"district_code:78, state_name:HARYANA, district_name:Fatehabad",942011,495360,446651,557578,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,203020,55360,258380,103541,136663,99948,93526,61476,37741,9504,542399,344534,886933,555745,237009,147469
"district_code:79, state_name:HARYANA, district_name:Sirsa",1295189,682582,612607,782897,456968,325929,387381,202430,184951,0,0,0,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,245476,93316,338792,141766,201349,153263,134559,83373,61620,16698,792628,412353,1204981,750228,334344,208185
"district_code:80, state_name:HARYANA, district_name:Hisar",1743931,931562,812369,1114311,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,302013,154113,456126,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1599018,1017830,456536,265109
"district_code:81, state_name:HARYANA, district_name:Bhiwani",1634445,866672,767773,1069871,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,357047,99235,456282,186145,223049,198307,218631,148995,104875,13786,1093788,459364,1553152,964960,405760,261428
"district_code:82, state_name:HARYANA, district_name:Rohtak",1061204,568479,492725,747582,436025,311557,216889,115573,101316,0,0,0,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,175203,131739,306942,117097,150903,140782,168499,109596,100346,21134,808357,248795,1057152,605741,269354,185685
"district_code:83, state_name:HARYANA, district_name:Jhajjar",958405,514667,443738,676091,399480,276611,170448,90856,79592,0,0,0,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,211816,78328,290144,90737,109829,115794,145258,97457,58826,9387,627288,201028,828316,549975,245095,162356
"district_code:84, state_name:HARYANA, district_name:Mahendragarh",922088,486665,435423,630255,380440,249815,156314,82420,73894,0,0,0,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,223726,44216,267942,94273,135849,126291,132765,94245,60296,10353,654072,245602,899674,530000,229392,161258
"district_code:85, state_name:HARYANA, district_name:Rewari",900332,474335,425997,636947,375453,261494,182606,95571,87035,0,0,0,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,199449,69305,268754,81280,120860,122617,139646,95807,65143,9820,635173,206827,842000,518747,230704,150557
"district_code:86, state_name:HARYANA, district_name:Gurgaon",1514432,816690,697742,1111116,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,141703,381988,523691,126920,177453,175370,219200,150120,233402,41366,1123831,263720,1387551,875531,428101,210307
"district_code:87, state_name:HARYANA, district_name:Mewat",1089263,571162,518101,454897,308435,146462,75251,39743,35508,0,0,0,289964,224642,65322,204178,85786,799299,104237,55278,6023,124426,221846,862647,1235,592,516,1453,4,970,15593,96309,935,10499,187398,36237,223635,125261,135842,67299,41836,22265,12453,5527,410483,619284,1029767,790930,186916,110688
"district_code:88, state_name:HARYANA, district_name:Faridabad",1809733,966110,843623,1272739,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559,258422,333171,43437,82673,87700,382981,470681,137902,220384,198551,282666,178846,259933,27864,1306146,346567,1652713,1095602,481318,231029
"district_code:89, state_name:HARYANA, district_name:Palwal",1042708,554497,488211,599796,379696,220100,203123,107741,95382,0,0,0,309563,241464,68099,216932,92631,733145,91506,60685,8566,148806,826342,208566,932,3971,345,915,20,1617,46498,132606,4283,16736,186069,63090,249159,125474,142156,113940,102626,65963,43780,8373,602312,393825,996137,684189,224043,133913
"district_code:90, state_name:NCT OF DELHI, district_name:North West",3656539,1960922,1695617,2707855,1541952,1165903,697237,371546,325691,0,0,0,1188545,1022419,166126,1135126,53419,2467994,11433,13289,35896,1127927,3211042,291330,14100,92129,2281,43460,345,1852,625662,720900,114044,188876,67592,959275,1026867,228507,571255,607092,613393,519808,465677,22436,3028168,416720,3444888,2138591,1013424,503055
"district_code:91, state_name:NCT OF DELHI, district_name:North",887978,475002,412976,681517,381615,299902,165663,87007,78656,0,0,0,296446,257575,38871,283583,12863,591532,2187,1791,11028,281440,726443,119792,7256,19066,1824,13049,81,467,161067,174310,21418,40543,4512,296559,301071,58952,133915,142788,126121,97744,107099,11098,677717,125277,802994,506601,256501,124513
"district_code:92, state_name:NCT OF DELHI, district_name:North East",2241624,1188425,1053199,1611588,912481,699107,373758,197059,176699,0,0,0,661386,594353,67033,622443,38943,1580238,2235,2406,30738,626007,1529337,657585,9123,17424,2388,24673,48,1046,356769,391951,30390,69417,5326,482255,487581,206524,500493,488767,341540,212438,122983,9199,1881944,257966,2139910,1393078,581016,264663
"district_code:93, state_name:NCT OF DELHI, district_name:East",1709346,907500,801846,1352998,748382,604616,281422,148019,133403,0,0,0,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,932,327253,352758,80037,127465,1086,461132,462218,86484,219061,260094,267825,235187,246988,18644,1334283,169693,1503976,948963,497157,262124
"district_code:94, state_name:NCT OF DELHI, district_name:New Delhi",142004,77942,64062,114179,65678,48501,33245,17885,15360,0,0,0,59541,46940,12601,56471,3070,82463,121,275,1030,58115,124482,8480,4852,2933,312,679,66,200,26681,30023,7366,11948,0,52664,52664,4641,11728,15326,15942,17742,23934,2186,91499,10098,101597,76076,43913,21773
"district_code:95, state_name:NCT OF DELHI, district_name:Central",582320,307821,274499,442360,240518,201842,143178,73782,69396,0,0,0,207374,177621,29753,195978,11396,374946,597,601,10902,195274,364148,194278,3527,13038,362,5886,107,974,101826,113399,19724,30627,0,194897,194897,34122,80924,96755,83244,62124,80251,6097,443517,87286,530803,317650,169533,94448
"district_code:96, state_name:NCT OF DELHI, district_name:West",2543243,1356240,1187003,1961179,1093933,867246,376472,200098,176374,0,0,0,874320,732598,141722,839621,34699,1668923,2952,4358,29022,837988,2087294,149807,18337,271752,1993,11322,273,2465,475985,520282,109666,171002,1809,699703,701512,157606,318376,365913,369114,327114,440295,54376,2032794,308139,2340933,1399165,732515,408953
"district_code:97, state_name:NCT OF DELHI, district_name:South West",2292958,1246046,1046912,1787689,1025261,762428,318408,170205,148203,0,0,0,795352,667977,127375,749995,45357,1497606,9733,7753,18614,759252,2102743,112691,31226,31692,2784,9215,266,2341,423855,457784,94853,156635,41179,606503,647682,152945,255177,313817,335645,308513,400800,47723,1814620,278832,2093452,1296955,683209,308675
"district_code:98, state_name:NCT OF DELHI, district_name:South",2731929,1467428,1264501,2078402,1185036,893366,422926,223199,199727,0,0,0,924393,775592,148801,869086,55307,1807536,2984,5908,25081,890420,2155759,445914,41880,69520,3862,11020,645,3329,504898,549402,111453,176435,2918,728145,731063,191659,368772,400595,430091,354078,458858,52503,2256556,328287,2584843,1588001,785085,355602
"district_code:99, state_name:RAJASTHAN, district_name:Ganganagar",1969168,1043340,925828,1193343,710908,482435,720412,376734,343678,13477,7160,6317,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,1316,88543,283142,6295,24901,397697,164897,562594,237042,314107,238397,163098,105734,104071,19396,1181845,710223,1892068,1167889,502211,283484
"district_code:100, state_name:RAJASTHAN, district_name:Hanumangarh",1774692,931184,843508,1034136,624281,409855,494189,258352,235837,14289,7578,6711,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,2099,55515,243163,3360,16217,389059,108694,497753,239601,273441,219194,153628,104087,84185,14416,1088552,723454,1812006,1058044,453114,242361
"district_code:101, state_name:RAJASTHAN, district_name:Bikaner",2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,752768,233440,1377729,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,1653,108812,220793,7607,29531,335754,196179,531933,410155,333211,254335,143669,80296,101714,18577,1341957,1015331,2357288,1543867,517271,288165
"district_code:102, state_name:RAJASTHAN, district_name:Churu",2039547,1051446,988101,1149269,696729,452540,451721,235113,216608,11245,5903,5342,902829,541404,361425,628381,274448,1136718,572644,87983,16594,225608,1777879,249736,958,402,188,7104,127,3153,74197,231696,2577,15259,344897,148996,493893,336671,302022,237220,161520,100677,77282,13320,1228712,910226,2138938,1293193,458725,272176
"district_code:103, state_name:RAJASTHAN, district_name:Jhunjhunun",2137045,1095896,1041149,1370360,815834,554526,360709,185879,174830,41629,21380,20249,894649,541392,353257,592813,301836,1242396,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,1217,131987,297559,4828,24178,500452,150357,650809,296093,305626,301866,256621,192240,158936,25286,1536668,712584,2249252,1298780,494124,330126
"district_code:104, state_name:RAJASTHAN, district_name:Alwar",3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,2384,123478,485723,9750,45770,782294,212967,995261,492781,492981,468628,324050,230415,222622,31390,2262867,1384905,3647772,2346721,836000,490137
"district_code:105, state_name:RAJASTHAN, district_name:Bharatpur",2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,694929,376225,1477308,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,2423,61113,288723,4179,26106,479437,129697,609134,363676,330336,314953,211938,147520,132571,23311,1524305,1104824,2629129,1659515,546362,329127
"district_code:106, state_name:RAJASTHAN, district_name:Dhaulpur",1206516,653647,552869,683098,435721,247377,245695,131875,113820,58594,31802,26792,523212,339110,184102,317617,205595,683304,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,1842,24561,96086,1330,9504,214670,58626,273296,207566,172914,132964,77360,45590,37856,8194,682444,552106,1234550,815651,248416,141365
"district_code:107, state_name:RAJASTHAN, district_name:Karauli",1458248,783639,674609,805849,531904,273945,354465,189249,165216,324960,176200,148760,628726,371058,257668,438337,190389,829522,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,912,28296,132079,1059,13045,305047,59308,364355,220644,193938,170399,104208,69443,67639,14402,840673,668926,1509599,947173,310688,192042
"district_code:108, state_name:RAJASTHAN, district_name:Sawai Madhopur",1335551,704031,631520,741748,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,2398,40116,140947,1887,14310,282057,71264,353321,205450,172925,151108,87349,57625,70870,14384,759711,586492,1346203,841697,309237,183234
"district_code:109, state_name:RAJASTHAN, district_name:Dausa",1634409,857787,776622,938051,596935,341116,354337,185349,168988,433344,228554,204790,684495,398151,286344,506214,178281,949914,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,1905,35600,195277,1719,14539,361084,59610,420694,229035,235474,208537,135234,92559,90833,13764,1005436,681980,1687416,1047136,358718,210117
"district_code:110, state_name:RAJASTHAN, district_name:Jaipur",6626178,3468507,3157671,4300965,2554793,1746172,1003302,524831,478471,527966,276638,251328,2464893,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,4900,570997,990085,76565,182350,754841,977838,1732679,819004,875940,823570,659389,455527,703673,96562,4433665,2046038,6479703,4091148,1646480,884057
"district_code:111, state_name:RAJASTHAN, district_name:Sikar",2677333,1374990,1302343,1652117,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,1954,131342,339457,5647,28382,527560,178274,705834,369959,438872,367412,282595,200430,181282,19321,1859871,967497,2827368,1672813,605002,381226
"district_code:112, state_name:RAJASTHAN, district_name:Nagaur",3307743,1696325,1611418,1758624,1102750,655874,699911,360451,339460,10418,5475,4943,1425882,857031,568851,985927,439955,1881861,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,4156,97267,347344,4449,35328,675712,166489,842201,513871,486057,388822,242053,147701,117444,14853,1910801,1533137,3443938,2088323,754143,463469
"district_code:113, state_name:RAJASTHAN, district_name:Jodhpur",3687165,1923928,1763237,2031532,1265753,765779,608024,315199,292825,118924,61969,56955,1489741,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,3759,197135,408808,19335,54808,584215,307442,891657,497762,512035,405132,259304,154789,177199,30720,2036941,1591957,3628898,2359786,836322,489280
"district_code:114, state_name:RAJASTHAN, district_name:Jaisalmer",669919,361708,308211,308653,210415,98238,99134,52776,46358,42429,22497,19932,288903,182565,106338,175383,113520,381016,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,495,12431,43141,754,7416,159117,30830,189947,109484,71132,41264,20142,12759,10604,1720,267105,397649,664754,448969,140294,79977
"district_code:115, state_name:RAJASTHAN, district_name:Barmer",2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,741367,461115,1401269,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,1869,39580,126494,2766,37730,542825,55980,598805,406804,352636,219932,101291,52272,39533,7328,1179796,1501858,2681654,1731122,527629,326476
"district_code:116, state_name:RAJASTHAN, district_name:Jalor",1828730,936634,892096,829582,543923,285659,357196,185342,171854,178719,93290,85429,896644,494906,401738,660719,235925,932086,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,1061,39745,161845,1585,12794,419216,48202,467418,270997,277152,181691,75304,32366,25210,7850,870570,1033534,1904104,1176496,390598,249379
"district_code:117, state_name:RAJASTHAN, district_name:Sirohi",1036346,534231,502115,476806,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,450,47182,134089,2146,10297,238535,69639,308174,117971,147381,110385,58213,30724,27076,5251,497001,577092,1074093,649290,244401,142251
"district_code:118, state_name:RAJASTHAN, district_name:Pali",2037573,1025422,1012151,1085693,667381,418312,398096,203328,194768,144578,74369,70209,842327,523077,319250,605288,237039,1195246,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,1502,94821,326793,4043,19270,512909,139808,652717,293818,359329,271312,144581,71472,67021,9403,1216936,983050,2199986,1207983,467436,343384
